,LA SEGUNDA VOTACIÓN DEL TEXTO  SUSTITUTORIO DEL PROYECTO 7752,VOTACIÓN DE LA RECONSIDERACIÓN DE  LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL  PROYECTO 7752
0,1,-1
1,0,1
2,-1,1
3,1,-1
4,1,-1
5,1,-1
6,1,-1
7,1,1
8,1,1
9,-1,1
10,1,-1
11,1,-1
12,1,-1
13,2,2
14,2,2
15,0,-1
16,-1,1
17,2,2
18,-1,1
19,-1,1
20,1,-1
21,0,1
22,1,-1
23,1,-1
24,0,-1
25,-1,1
26,1,-1
27,2,2
28,1,-1
29,2,0
30,0,-1
31,1,0
32,1,2
33,2,2
34,0,-1
35,-1,1
36,-1,1
37,0,-1
38,-1,1
39,-1,1
40,2,2
41,1,0
42,0,-1
43,-1,1
44,2,2
45,1,-1
46,2,2
47,1,0
48,-1,1
49,1,-1
50,1,-1
51,-1,1
52,1,-1
53,2,2
54,2,2
55,1,-1
56,2,2
57,-1,-1
58,1,-1
59,1,-1
60,2,2
61,1,-1
62,1,-1
63,2,2
64,1,-1
65,1,-1
66,-1,1
67,2,2
68,2,2
69,1,-1
70,1,-1
71,1,2
72,-1,1
73,-1,0
74,1,-1
75,-1,1
76,1,-1
77,2,-1
78,-1,1
79,-1,1
80,0,1
81,0,-1
82,1,-1
83,0,1
84,1,-1
85,-1,-1
86,1,-1
87,2,2
88,2,2
89,-1,1
90,0,-1
91,-1,1
92,0,1
93,1,-1
94,1,-1
95,-1,1
96,-1,1
97,1,0
98,2,1
99,-1,1
100,1,2
101,1,-1
102,-1,1
103,-1,1
104,1,-1
105,1,-1
106,2,2
107,-1,1
108,-1,1
109,2,2
110,1,-1
111,1,-1
112,1,-1
113,1,-1
114,-1,1
115,1,-1
116,1,-1
117,2,2
118,-1,1
119,-1,1
120,0,1
121,2,2
122,1,-1
123,2,-1
124,2,-1
125,1,1
126,-1,1
127,-1,1
128,1,-1
129,1,-1
130,1,-1
131,1,1
132,-1,-1
133,-1,1
134,-1,-1
135,-1,1
136,2,2
137,1,-1
